gene_name,interaction_type,drug_name,approved
A12M4,agonist,METHYLERGONOVINE,TRUE
KCNQ1,NULL,INDAPAMIDE,TRUE
TRDMT1,inhibitor,COMPOUND 13R [PMID: 23639540],FALSE
BRAF,NULL,RG-7256,FALSE
APAF1,inhibitor,NOR-BINALTORPHIMINE,FALSE
GLP1R,agonist,LIRAGLUTIDE,TRUE
RPS10,inhibitor,MT-3724,FALSE
DNER,NULL,MOLIBRESIB,FALSE
ABCA2,inhibitor,AS95,FALSE
SLCO1B3,NULL,CARBOPLATIN,TRUE
HSP90B2P,NULL,ARIMOCLOMOL,FALSE
ARSL,blocker,PICROTOXIN,FALSE
ADRA1B,inhibitor,TERAZOSIN HYDROCHLORIDE,TRUE
SCN10A,NULL,CONATUMUMAB,FALSE
ELAVL2,inhibitor,COMPOUND 17 [PMID: 23642479],FALSE
BNIP3,agonist,ANDROGRAPHOLIDE,FALSE
BARD1,activator,VERATRIDINE,FALSE
AR,NULL,ALLISAN,FALSE
MET,NULL,FORETINIB,FALSE
TYRO3,NULL,TOZASERTIB,FALSE
MAPK11,NULL,CHEMBL:CHEMBL8483,FALSE
TGM2,NULL,CISPLATIN,TRUE
MMP2,NULL,RAMIPRIL,TRUE
HRH1,NULL,HISTAMINE,TRUE
A1BG,agonist,(R)-UH 301,FALSE
GATM,antibody,GLOFITAMAB,FALSE
BTNL1,inhibitor,HG2+,FALSE
TUBB6,NULL,LARGAZOLE,FALSE
DLL4,NULL,DEMCIZUMAB,FALSE
ESR1,NULL,CISPLATIN,TRUE
TNIK,NULL,RISPERIDONE,TRUE
PSMA2,NULL,CARFILZOMIB,TRUE
NR3C2,agonist,FLUDROCORTISONE ACETATE,TRUE
ITGA2B,inhibitor,EPTIFIBATIDE,TRUE
PRKACA,NULL,FASUDIL,FALSE
TOP2A,NULL,CHEMBL:CHEMBL594257,FALSE
DDIT3,NULL,PHENETHYL ISOTHIOCYANATE,FALSE
SLC6A4,NULL,MINAPRINE,TRUE
SLC23A1,NULL,ASCORBIC ACID,TRUE
