gene_name,interaction_type,drug_name,approved
MYH7B,inhibitor,MAVACAMTEN,TRUE
AR,NULL,DIFLUPREDNATE,TRUE
VDR,NULL,TOMELUKAST,FALSE
HDAC3,NULL,PANOBINOSTAT,TRUE
MAP4K4,NULL,PALBOCICLIB,TRUE
ALOX15,NULL,MERCURIC CHLORIDE,FALSE
RGS4,NULL,QUETIAPINE FUMARATE,TRUE
PIK3R6,inhibitor,PILARALISIB,FALSE
BCL2,NULL,NONSTEROIDAL ANTIINFLAMMATORY DRUG,FALSE
GABRA2,NULL,QUAZEPAM,TRUE
BTK,NULL,BMS-986142,FALSE
ALDH1A3,agonist,SARAFOTOXIN S6C,FALSE
ARNT,modulator,FLUNITRAZEPAM,TRUE
ALOX15,agonist,GHRP-6,FALSE
XIAP,agonist,"[ILE5,TRP23]PTHRP-(4-36) (HUMAN)",FALSE
EDNRA,NULL,ZIBOTENTAN,FALSE
HTR1A,agonist,ARIPIPRAZOLE LAUROXIL,TRUE
HTR1A,inhibitor,ROBALZOTAN,FALSE
CDK1,NULL,SOTRASTAURIN,FALSE
RRM1,NULL,PEMETREXED DISODIUM,TRUE
ADRA1A,NULL,"ERGOLOID MESYLATES, USP",TRUE
TNF,NULL,INFLIXIMAB-DYYB,TRUE
DHFR,NULL,PRALATREXATE,TRUE
PIK3CA,NULL,TEMOZOLOMIDE,TRUE
CHRM2,NULL,OXYBUTYNIN,TRUE
SLC6A4,NULL,AMITIFADINE HYDROCHLORIDE,FALSE
ADRA1A,NULL,OXYMETAZOLINE HYDROCHLORIDE,TRUE
CACNA1H,blocker,TTA-A2,FALSE
SARDH,inhibitor,COMPOUND 10A [PMID: 31283223],FALSE
AR,NULL,KEPONE,FALSE
DRD1,NULL,IFENPRODIL,FALSE
CCND1,agonist,CIGLITAZONE,FALSE
DDIT3,NULL,RECOMBINANT NEUROTROPHIC FACTOR,FALSE
HDAC6,NULL,CITARINOSTAT,FALSE
PTEN,NULL,BAY1125976,FALSE
INSR,agonist,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,TRUE
KDM4E,NULL,CHEMBL:CHEMBL583824,FALSE
ATP1B1P1,activator,BENZOQUINONE,FALSE
SLC18A2,NULL,BUPROPION HYDROCHLORIDE,TRUE
PTPRD,NULL,TEMSIROLIMUS,TRUE
AURKA,NULL,ALISERTIB,FALSE
PRTN3,NULL,MYCOPHENOLATE MOFETIL,TRUE
HRH2,NULL,RANITIDINE HYDROCHLORIDE,TRUE
VIM,other/unknown,PRITUMUMAB,FALSE
BRAF,NULL,E6201,FALSE
HTT,NULL,CHEMBL:CHEMBL580609,FALSE
TUBB8,NULL,VINBLASTINE,TRUE
CYP24A1,NULL,TELAPREVIR,TRUE
ALDH1A2,NULL,ATENOLOL,TRUE
HRAS,NULL,VITAMIN E,TRUE
HTR2C,agonist,ORG 12962,FALSE
NFKB2,NULL,NF-KAPPAB DECOY,FALSE
PTGDR2,NULL,TIMAPIPRANT,FALSE
EFNA4,inhibitor,COMPOUND 11H [PMID: 29808961],FALSE
DPYSL2,inhibitor,PAZOPANIB,TRUE
CCN2,inhibitor,STAUROSPORINE,FALSE
HTR3B,inhibitor,TROPISETRON,TRUE
HTR1D,NULL,PIROMELATINE,FALSE
TUBB,NULL,VASCULAR DISRUPTING AGENT BNC105,FALSE
DNMT1,NULL,AZACITIDINE,TRUE
SCN10A,NULL,PROCAINE,TRUE
CD70,NULL,SGN-CD70A,FALSE
NRAS,NULL,SCH772984,FALSE
NPSR1,NULL,APIGENIN,TRUE
CD19,binder,LONCASTUXIMAB TESIRINE,TRUE
RAD52,NULL,PROPIONYLPROMAZINE HYDROCHLORIDE,FALSE
CHRNB4,negative modulator,MECAMYLAMINE HYDROCHLORIDE,TRUE
CD276,NULL,OBRINDATAMAB,FALSE
TSHB,NULL,LEVOTHYROXINE,TRUE
ROS1,NULL,LORLATINIB,TRUE
MAOA,NULL,CX157,FALSE
CRBN,inhibitor,SJ995973,FALSE
TARDBP,NULL,NAPROXEN SODIUM,TRUE
GABRR1,NULL,CLORAZEPATE,TRUE
A2MP1,agonist,OXYMETAZOLINE HYDROCHLORIDE,TRUE
FNTBL1,inhibitor,LHVS,FALSE
GRM8,modulator,VU0155094,FALSE
CYP2D6,NULL,ANTIDEPRESSANT AGENT,FALSE
ITPR1,activator,IP3,FALSE
RICTOR,NULL,PLATINUM,FALSE
A12M4,inhibitor,SPIPERONE,FALSE
TOP2B,inhibitor,TENIPOSIDE,TRUE
AR,NULL,ESTRAMUSTINE PHOSPHATE SODIUM,TRUE
NFKB1,NULL,BENZETHONIUM CHLORIDE,TRUE
DNTT,NULL,RECOMBINANT INTERFERON ALFA,FALSE
IL1R1,NULL,"ALUM, POTASSIUM",TRUE
GAPDHP1,inhibitor,VORINOSTAT,TRUE
SLC16A7,NULL,METHOTREXATE,TRUE
NAAA,inhibitor,F215,FALSE
DDX12P,NULL,ANTICONVULSANT AGENT,FALSE
CRMP1,inhibitor,SA-57,FALSE
DTNA,NULL,GROWTH ARREST SPECIFIC PROTEIN 6,FALSE
GBA1,NULL,DNQX,FALSE
CYP2C19,NULL,ALPROSTADIL,TRUE
GMNN,NULL,CHEMBL:CHEMBL598885,FALSE
ALDH1A1,NULL,CHEMBL:CHEMBL602158,FALSE
SLC2A2,NULL,METFORMIN,TRUE
ABAT,inhibitor,MRS1754,FALSE
CCL18,inhibitor,BESIFLOXACIN HYDROCHLORIDE,TRUE
DRD3,inhibitor,OLANZAPINE PAMOATE,TRUE
TUBA1B,inhibitor,PF-06263507,FALSE
CLK4,NULL,GSK-269962A,FALSE
CFI,NULL,RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1,FALSE
DRG2,inhibitor,NIK INHIBITOR 12F,FALSE
MPI,NULL,CHEMBL:CHEMBL1567571,FALSE
SLK,NULL,SOTRASTAURIN,FALSE
GATA3,NULL,VINCRISTINE,TRUE
PIK3CD,inhibitor,DACTOLISIB,FALSE
TNF,NULL,REMTOLUMAB,FALSE
ALOX5,NULL,PF-4191834,FALSE
IL3RA,NULL,FLOTETUZUMAB,FALSE
AMPD1,inhibitor,COMPOUND 15B [PMID: 31811124],FALSE
FGFR2,NULL,ZOLIGRATINIB,FALSE
GABRB3,NULL,HALAZEPAM,TRUE
P4HTM,inhibitor,ROXADUSTAT,TRUE
ANTP4,inhibitor,OHM-11526,FALSE
ABL1,NULL,PONATINIB,TRUE
HTR2A,inhibitor,THIORIDAZINE,TRUE
TUBB3,inhibitor,BRENTUXIMAB VEDOTIN,TRUE
F2,NULL,DABIGATRAN,TRUE
TLR7,inhibitor,HYDROXYCHLOROQUINE SULFATE,TRUE
IFNAR1,agonist,INTERFERON BETA-1B,TRUE
AR,NULL,DIPYRITHIONE,FALSE
CYP2C19,NULL,ZIDOVUDINE,TRUE
AQP9,inhibitor,SRX246,FALSE
PKM,NULL,CHEMBL:CHEMBL1093369,FALSE
CBX1,NULL,TETRYDAMINE,FALSE
ATM,NULL,OLAPARIB,TRUE
PSMB5,other/unknown,CARFILZOMIB,TRUE
MASP2,inhibitor,NARSOPLIMAB,FALSE
TUBA3C,inhibitor,OMBRABULIN,FALSE
KCNH2,NULL,DICOFOL,FALSE
BMP10,inhibitor,DALANTERCEPT,FALSE
PIK3CB,NULL,AZD-8186,FALSE
SLC25A4,modulator,COMPOUND 3 [PMID: 21105727],FALSE
PHKG2,NULL,GEFITINIB,TRUE
RXRA,NULL,DOXORUBICIN HYDROCHLORIDE,TRUE
ESR1,NULL,ALL-TRANS-RETINAL,FALSE
COL4A1,activator,FD6,FALSE
CYP2C9,NULL,CHEMBL:CHEMBL606167,FALSE
NFE2L2,NULL,DEFEROXAMINE,TRUE
CHRNA7,NULL,SECOBARBITAL,TRUE
HTR1B,NULL,FLUPHENAZINE HYDROCHLORIDE,TRUE
CDK7,NULL,NVP-TAE684,FALSE
MEN1,NULL,TRIMETREXATE,TRUE
HPGD,NULL,THIMEROSAL,TRUE
ACTA2,inhibitor,TEIJIN-LEAD_CMP_5,FALSE
CSF3R,NULL,TRAMETINIB DIMETHYL SULFOXIDE,TRUE
KCNH2,NULL,SOTALOL,TRUE
TLR4,NULL,NELFINAVIR,TRUE
PPP1CA,NULL,CANTHARIDIN,TRUE
SLC2A4,NULL,ASPIRIN,TRUE
RAD54L,NULL,CHEMBL:CHEMBL578512,FALSE
NFE2L2,NULL,HALAZONE,FALSE
UGT1A3,NULL,ATAZANAVIR,TRUE
IDH1,NULL,CHEMBL:CHEMBL1437888,FALSE
KDR,NULL,BRIVANIB,FALSE
AMY1A,agonist,COMPOUND 43 [PMID: 26751273],FALSE
FASLG,agonist,"[111IN,90Y]DOTA-LAN",FALSE
BLVRB,inhibitor,COMPOUND 15A [PMID: 22464687],FALSE
CYP3A4,NULL,KAEMPHEROL,FALSE
SNORD68,NULL,THALIDOMIDE,TRUE
GRIN3A,NULL,INDANTADOL,FALSE
MLH1,NULL,DURVALUMAB,TRUE
PLG,NULL,ALTEPLASE,TRUE
GSTP1,NULL,PERFOSFAMIDE,FALSE
APOA1,NULL,GLUCAGON (RDNA),TRUE
CACNG8,modulator,ATAGABALIN,FALSE
KCND2,blocker,TEDISAMIL,FALSE
CHRM2,NULL,CARBAMOYLCHOLINE,TRUE
P4HB,inhibitor,IMPLITAPIDE,FALSE
PNLIP,NULL,HOOKEROSIDE A,FALSE
EHMT2,NULL,CEFOTIAM HYDROCHLORIDE,TRUE
CYP2D6,NULL,PARAROSANILINE,FALSE
FAU,inhibitor,BOSUTINIB,TRUE
HSD11B1,NULL,INCB13739,FALSE
CHRM3,NULL,METHSCOPOLAMINE BROMIDE,TRUE
EML4,NULL,GILTERITINIB,TRUE
NR3C1,agonist,HYDROCORTISONE PROBUTATE,TRUE
PDE4D,NULL,GSK-356278,FALSE
PIM1,NULL,SOTRASTAURIN,FALSE
PDE4B,NULL,MK-0873,FALSE
SLC6A2,NULL,LEVOMILNACIPRAN,TRUE
SCN5A,NULL,MEPHENYTOIN,TRUE
CYP3A4,NULL,NOBILETIN,FALSE
CRBN,NULL,PTD10,FALSE
APOB,agonist,U46619,FALSE
IGFBP1,NULL,DEXAMETHASONE,TRUE
PLG,activator,ALTEPLASE,TRUE
GGT1,NULL,DIETHYLDITHIOCARBAMATE,FALSE
AMYP1,agonist,"[PHE13,TYR19]MCH",FALSE
TUBA3C,inhibitor,BRENTUXIMAB VEDOTIN,TRUE
CTDSP1,NULL,NALOXONE METHIODIDE,FALSE
APEX1,NULL,DAUNORUBICIN HYDROCHLORIDE,TRUE
CHRNA4,NULL,ATG002,FALSE
KDM4A,NULL,LAVENDUSTIN B,FALSE
PIK3CG,NULL,CYCLOSPORINE,TRUE
PTGS2,NULL,"IBUPROFEN, SODIUM SALT",TRUE
CXCR4,NULL,MSX-122,FALSE
IL2RA,NULL,ATORVASTATIN CALCIUM TRIHYDRATE,TRUE
GABRB3,positive modulator,DESFLURANE,TRUE
TOP1,NULL,IRINOTECAN HYDROCHLORIDE,TRUE
HDAC7,NULL,PHENYLBUTYRYLHYDROXAMIC ACID,FALSE
PDE5A,inhibitor,ASPIRIN,TRUE
FGF2,NULL,ASPIRIN,TRUE
KCNH2,NULL,GREPAFLOXACIN,FALSE
ROS1,NULL,REPOTRECTINIB,TRUE
ADGRL3,NULL,DESIPRAMINE,TRUE
ETV2,inhibitor,COMPOUND 25 [PMID: 17935989],FALSE
MRPL36,inhibitor,ERYTHROMYCIN LACTOBIONATE,TRUE
FAU,inhibitor,MT-3724,FALSE
PIK3CD,inhibitor,PANULISIB,FALSE
SQSTM1,NULL,DUSQUETIDE,FALSE
APOC4,inhibitor,ONO-8711,FALSE
SLC25A6,modulator,VU0409551,FALSE
APAF1,agonist,AR-M1000390,FALSE
PLAUR,NULL,LENOGRASTIM,TRUE
RCAN1,inhibitor,DDR1/2 INHIBITOR 5N,FALSE
DPT,inhibitor,COMPOUND 8I [PMID: 22765894],FALSE
ACRV1,agonist,JWH-018,FALSE
GABRA6,NULL,FLUNITRAZEPAM,TRUE
TUBA3E,inhibitor,ERIBULIN MESYLATE,TRUE
A2M,inhibitor,9-OH-RISPERIDONE,FALSE
ALOX15,NULL,CHEMBL:CHEMBL184450,FALSE
SLCO2B1,NULL,SULFOBROMOPHTHALEIN,FALSE
EHMT2,NULL,THIETHYLPERAZINE MALATE,TRUE
ARSA,NULL,"3,5-DINITROCATECHOL (OR-486)",FALSE
ATF4,inhibitor,[3H]&ALPHA;-BUNGAROTOXIN,FALSE
ASS1P5,agonist,8-DEOXY-NEODYSIHERBAINE,FALSE
ABL1,NULL,GENISTEIN,TRUE
CYP2D6,NULL,ENOXOLONE,FALSE
SERPINE1,NULL,"ESTROGENS, CONJUGATED (USP)",TRUE
HSD17B10,NULL,AMINACRINE,FALSE
HIF1A,NULL,NIFEDIPINE,TRUE
TDP1,NULL,4-CHLOROMERCURIBENZOIC ACID,FALSE
TUBB2A,NULL,PODOFILOX,TRUE
CYP2C19,NULL,ACETAMINOPHEN,TRUE
FLT1,NULL,SP-600125,FALSE
RELA,NULL,GEFITINIB,TRUE
MYOM2,NULL,CLOPIDOGREL,TRUE
NFE2L2,NULL,CLORGYLINE HYDROCHLORIDE,FALSE
ERBB2,NULL,FULVESTRANT,TRUE
KRAS,inhibitor,GRAZOPREVIR,TRUE
POLL,NULL,JUGLONE,FALSE
PTPN12,NULL,CHEMBL:CHEMBL601167,FALSE
PRL,NULL,ALTEPLASE,TRUE
PIK3CD,NULL,DUVELISIB,TRUE
TPO,NULL,PROPYLTHIOURACIL,TRUE
A1BG,agonist,5-HYDROXYTRYPTAMINE,FALSE
FGF23,inhibitor,BUROSUMAB-TWZA,TRUE
CD274,NULL,SERINE/THREONINE KINASE INHIBITOR CBP501,FALSE
USP1,NULL,SB 216763,FALSE
LIPA,NULL,THERAPEUTIC HORMONE,FALSE
HDC,inhibitor,FMH,FALSE
GABRG3,positive modulator,TALBUTAL,TRUE
JAK1,inhibitor,CERDULATINIB,FALSE
HPGD,NULL,TYRPHOSTIN 23,FALSE
ADRB1,agonist,EPHEDRINE HYDROCHLORIDE,TRUE
HBEGF,inhibitor,GSK-1838705A,FALSE
SCN9A,blocker,COCAINE HYDROCHLORIDE,TRUE
YES1,NULL,AZD-7762,FALSE
CYP3A4,NULL,INAMRINONE,TRUE
NEK2,NULL,DOVITINIB,FALSE
LDLR,NULL,PHYTOESTROGEN,FALSE
GABRA2,NULL,METHARBITAL,TRUE
ARR3,inhibitor,[3H]GABAZINE,FALSE
CYP1A2,NULL,DIPHENHYDRAMINE,TRUE
TYK2,inhibitor,ROPSACITINIB,FALSE
ABCC2,NULL,DEFERASIROX,TRUE
CCR1,inhibitor,CCX354,FALSE
TLR9,NULL,COBITOLIMOD SODIUM,FALSE
RPS18,inhibitor,CYCLOHEXIMIDE,FALSE
MTHFR,NULL,CARBAMAZEPINE,TRUE
SLCO1B1,NULL,LOVASTATIN ACID,FALSE
AR,NULL,HE3235,FALSE
EXTL1,inhibitor,PF-3758309,FALSE
CYP3A4,NULL,"12-HYDROXY-4,4-BISNOR-4,8,11,13-PODOCARPATETRAEN-3-ONE",FALSE
MAP2K2,inhibitor,COBIMETINIB FUMARATE,TRUE
ESRRG,inhibitor,AFIMOXIFENE,FALSE
RPL32,inhibitor,DORLIMOMAB ARITOX,FALSE
A2M,NULL,ALPROSTADIL,TRUE
PPARG,NULL,ALEGLITAZAR,FALSE
VDR,NULL,CALCITRIOL,TRUE
ADRA2B,NULL,NOREPINEPHRINE,TRUE
GRIN1,agonist,ULEVOSTINAG,FALSE
ERBB3,NULL,AFATINIB,TRUE
PRL,NULL,NALOXONE HYDROCHLORIDE,TRUE
EHMT2,NULL,FLUPHENAZINE HYDROCHLORIDE,TRUE
RPTOR,inhibitor,OSI-027,FALSE
EMD,inhibitor,COMPOUND 3B [PMID: 23454515],FALSE
TUBB,inhibitor,PF-06263507,FALSE
PIM1,NULL,SP-600125,FALSE
USP1,NULL,HOMIDIUM BROMIDE,FALSE
SMAD3,NULL,TRICLOCARBAN,FALSE
ROCK1,NULL,SAR407899,FALSE
AOC1,agonist,CLONIDINE HYDROCHLORIDE,TRUE
MAPK14,inhibitor,AVE-9940,FALSE
TOP2B,inhibitor,BECATECARIN,FALSE
RAPGEF3,NULL,ASPIRIN,TRUE
HSP90AA1,NULL,CHEMBL:CHEMBL588804,FALSE
ADAMTSL4-AS1,NULL,CHEMBL:CHEMBL1519374,FALSE
ADRA2B,NULL,ISOPROTERENOL,TRUE
KDR,NULL,GLESATINIB,FALSE
FGF22,NULL,PHLORETIN,TRUE
CYP1A2,NULL,INDINAVIR,TRUE
TTR,NULL,INOTERSEN,TRUE
EDNRB,inhibitor,BOSENTAN ANHYDROUS,TRUE
ALK,NULL,DURVALUMAB,TRUE
GLA,NULL,ANAMORELIN,FALSE
KRAS,inhibitor,REGORAFENIB,TRUE
DRD1,NULL,FLUPHENAZINE HYDROCHLORIDE,TRUE
ASIC2,inhibitor,[125I]BANTAG-1,FALSE
EGR4,inhibitor,CDK1 INHIBITOR,FALSE
DPYS,inhibitor,CRENOLANIB,FALSE
ARNT,agonist,[3H]MUSCIMOL,FALSE
GRIN2A,agonist,(+)-HA966,FALSE
DLX3,inhibitor,ANANTIN,FALSE
DPH1,inhibitor,COMPOUND 19A [PMID: 30503936],FALSE
ATP5F1E,activator,HALOTHANE,TRUE
PTK2B,inhibitor,COMPOUND 1D [PMID: 21493067],FALSE
PIK3CA,NULL,MS417,FALSE
NFE2L2,NULL,CHEMBL:CHEMBL1863271,FALSE
CRP,NULL,ROSUVASTATIN,TRUE
DRG2,inhibitor,RIPK1 INHIBITOR 22B,FALSE
COL9A2,inhibitor,IBUDILAST,FALSE
PDE3B,NULL,NM-702,FALSE
GNG10,inhibitor,BV-6,FALSE
AURKC,inhibitor,CENISERTIB,FALSE
CXCR4,inhibitor,CTCE-9908,FALSE
TUBB6,modulator,SAGOPILONE,FALSE
TUBB2B,inhibitor,ARX-788,FALSE
MAOA,NULL,TRANYLCYPROMINE,TRUE
CD24P1,inhibitor,SSR-103800,FALSE
CYP2C9,NULL,TORSEMIDE,TRUE
KRTAP10-4,NULL,CLOPIDOGREL,TRUE
CYP2D6,NULL,(R)-FLECAINIDE,FALSE
HPGD,NULL,CHEMBL:CHEMBL1485420,FALSE
CYP3A4,NULL,BIFEMELANE,FALSE
DRD1,NULL,SB-415286,FALSE
EHMT2,NULL,CHEMBL:CHEMBL1510164,FALSE
HTR2A,inhibitor,HALOPERIDOL DECANOATE,TRUE
PIK3CB,inhibitor,WX-037,FALSE
GCGR,agonist,DASIGLUCAGON HYDROCHLORIDE,TRUE
FDPS,NULL,RISEDRONIC ACID,TRUE
CCR4,inhibitor,ZELNECIRNON,FALSE
DPYS,inhibitor,MIDOSTAURIN,TRUE
F7R,inhibitor,NEOLYMPHOSTIN A,FALSE
KMT2A,NULL,PANOBINOSTAT,TRUE
CDK5,NULL,SP-600125,FALSE
KRAS,NULL,BINIMETINIB,TRUE
XDH,NULL,RECOMBINANT INTERFERON,FALSE
ALOX15B,NULL,CHEMBL:CHEMBL1091971,FALSE
POLB,NULL,CHEMBL:CHEMBL494668,FALSE
NR4A1,NULL,CHEMBL:CHEMBL547833,FALSE
POLK,NULL,EUFLAVINE,FALSE
ABL1,inhibitor,DDR1/2 INHIBITOR 5N,FALSE
ERVK2,inhibitor,COMPOUND 5I [PMID: 36542759],FALSE
FGFR3,NULL,ZOLIGRATINIB,FALSE
ATXN2,NULL,CHEMBL:CHEMBL1902074,FALSE
EHMT2,NULL,DEMECLOCYCLINE HYDROCHLORIDE,TRUE
L3MBTL1,NULL,CATECHOL,FALSE
GAPDHP1,inhibitor,TACEDINALINE,FALSE
BIRC6,inhibitor,LCL161,FALSE
HTR7,inhibitor,JNJ-18038683,FALSE
BDM,NULL,VAMOROLONE,TRUE
IL1R1,NULL,AS101,FALSE
EPHA2,NULL,MLN-8054,FALSE
FGF2,NULL,FAMOTIDINE,TRUE
A12M4,agonist,VER-3323,FALSE
CPT2,inhibitor,MECLOFENAMATE,TRUE
SLCO1B1,NULL,ESTROPIPATE,FALSE
F7,inhibitor,PI-103,FALSE
MAPT,NULL,CHEMBL:CHEMBL2181041,FALSE
TSHB,NULL,DIETHYLDITHIOCARBAMATE,FALSE
KDM4E,NULL,CHEMBL:CHEMBL600719,FALSE
IDH1,NULL,EUFLAVINE,FALSE
GRIN2D,inhibitor,AZD8108,FALSE
KCNA1,blocker,AMIFAMPRIDINE,TRUE
BRCA1,NULL,CARBOPLATIN,TRUE
ABR,agonist,METAPROTERENOL,TRUE
CACNA1H,blocker,ACT-709478,FALSE
SCN5A,NULL,MEXILETINE,TRUE
SERPINC1,NULL,TINZAPARIN SODIUM,TRUE
DNTT,NULL,ACYCLOVIR,TRUE
MET,NULL,SU11274,FALSE
NFE2L2,NULL,TRIAMCINOLONE,TRUE
IDH1,NULL,CHEMBL:CHEMBL579742,FALSE
GFAP,NULL,LITHIUM,TRUE
ATAD5,NULL,CHEMBL:CHEMBL525826,FALSE
ADRA1D,inhibitor,RAUWOLFIA SERPENTINA (USP),TRUE
GABRB1,positive modulator,TALBUTAL,TRUE
CDK18,inhibitor,AZD5438,FALSE
HDAC4,inhibitor,ENTINOSTAT,FALSE
MME,inhibitor,RACECADOTRIL,TRUE
KCNH2,NULL,(-)-U-50488 METHANE SULFONATE,FALSE
LCK,NULL,PAZOPANIB,TRUE
APEX1,NULL,ERYTHROSINE,TRUE
SMAD3,NULL,ENZYME INHIBITOR,FALSE
BTF3P11,NULL,AMSACRINE,TRUE
KCNH2,NULL,SPIPERONE HYDROCHLORIDE,FALSE
ADRB2,NULL,METAPROTERENOL SULFATE,TRUE
CYP1A2,NULL,SB-408124,FALSE
GRIN2C,inhibitor,AZD8108,FALSE
TACR1,inhibitor,CASOPITANT,FALSE
SCN9A,blocker,PRILOCAINE,TRUE
IFNA1,inhibitor,SIFALIMUMAB,FALSE
TUBA3E,inhibitor,CANTUZUMAB MERTANSINE,FALSE
IL5RA,NULL,BENRALIZUMAB,TRUE
LYN,NULL,MASITINIB,TRUE
CAMKK2,NULL,DOVITINIB,FALSE
PIM1,NULL,SB220025,FALSE
CYP2C9,NULL,PIROXICAM-BETA-CYCLODEXTRIN,TRUE
PIK3CA,NULL,SULINDAC,TRUE
GMNN,NULL,CHEMBL:CHEMBL1520346,FALSE
CACNA1G,NULL,FLUNARIZINE,FALSE
MAPT,NULL,CHEMBL:CHEMBL19954,FALSE
BAZ2B,NULL,CHEMBL:CHEMBL1383812,FALSE
ATR,inhibitor,BERZOSERTIB,FALSE
RPS10,inhibitor,DORLIMOMAB ARITOX,FALSE
HTR3D,inhibitor,RENZAPRIDE,FALSE
SLC6A3,inhibitor,NS-2359,FALSE
PIK3CD,inhibitor,DACTOLISIB,FALSE
FGFR1,inhibitor,REGORAFENIB,TRUE
ABAT,inhibitor,MRE 2029F20,FALSE
ABCA3,modulator,MRS8054,FALSE
CDK4,inhibitor,BSJ-03-204,FALSE
FGFR1,NULL,PICTILISIB,FALSE
TGFB1,NULL,AMIFOSTINE ANHYDROUS,TRUE
GCG,NULL,PENICILLAMINE,TRUE
CA1,NULL,TRICHLORMETHIAZIDE,TRUE
FCGR2B,NULL,MARGETUXIMAB-CMKB,TRUE
EPRS1,NULL,HALOFUGINONE,FALSE
NOS3,NULL,RONOPTERIN,FALSE
GRM3,NULL,LY404039,FALSE
GFER,NULL,CHEMBL:CHEMBL2002487,FALSE
DDIT3,NULL,ETOPOSIDE,TRUE
LEP,NULL,TROGLITAZONE,TRUE
IDH1,NULL,DIHYDROSPHINGOSINE,FALSE
MAPK1,NULL,PIMOZIDE,TRUE
TBP,NULL,THERAPEUTIC HORMONE,FALSE
ALK,NULL,LORLATINIB,TRUE
ERVW-4,inhibitor,ETRAVIRINE,TRUE
CACNA1H,blocker,BEPRIDIL HYDROCHLORIDE,TRUE
MAPK14,inhibitor,DILMAPIMOD,FALSE
AR,inhibitor,DAROLUTAMIDE,TRUE
COCH,NULL,VINCRISTINE,TRUE
NOS1,NULL,RECOMBINANT INTERLEUKIN-1 RECEPTOR ANTAGONIST,FALSE
BRCA1,NULL,CHEMBL:CHEMBL600315,FALSE
ERBB3,inhibitor,DARIZMETINIB,FALSE
TYK2,inhibitor,ZASOCITINIB,FALSE
HDAC2,NULL,BUTYRYLHYDROXAMIC ACID,FALSE
GABRB3,positive modulator,TALBUTAL,TRUE
KCNA5,blocker,GUANIDINE HYDROCHLORIDE,TRUE
MTOR,inhibitor,SAPANISERTIB,TRUE
PIK3R1,inhibitor,PANULISIB,FALSE
RPL13A,inhibitor,CYCLOHEXIMIDE,FALSE
PIK3R5,inhibitor,DACTOLISIB,FALSE
A12M3,inhibitor,SB 243213,FALSE
FGFR3,inhibitor,INFIGRATINIB,TRUE
BDM,inhibitor,MIRICORILANT,FALSE
APPL1,agonist,RELAXIN-1,FALSE
TUBB4B,NULL,CHEMBL:CHEMBL1935538,FALSE
PLK1,NULL,CHEMBL:CHEMBL118678,FALSE
KLC1,NULL,LEUCOVORIN CALCIUM,TRUE
APC,agonist,URIDINE 5'-TRIPHOSPHATE,FALSE
ANXA5,NULL,LAPACHONE,FALSE
GABRB1,positive modulator,PRIMIDONE,TRUE
RELA,NULL,GOSSYPETIN,FALSE
SMAD7,NULL,MONGERSEN,FALSE
BDNF,agonist,TANAPROGET,FALSE
DBI,NULL,THERAPEUTIC HORMONE,FALSE
CYP2D6,NULL,DESIPRAMINE,TRUE
AR,NULL,CANRENONE,TRUE
CACNB1,modulator,IMAGABALIN,FALSE
ANXA2P1,agonist,AVA5,FALSE
MLH1,NULL,AVELUMAB,TRUE
CXCL8,NULL,ASPIRIN,TRUE
CYP3A4,NULL,IPRONIAZID,TRUE
MAPT,NULL,SR2640,FALSE
NFKB2,NULL,ARTESUNATE,TRUE
EHMT2,NULL,ALITRETINOIN,TRUE
SCN2A,blocker,TOPIRAMATE,TRUE
APOC3,agonist,U46619,FALSE
ACTBP3,agonist,BETA-DEFENSIN 4A,FALSE
BSG,agonist,N-PHENYLTHIOUREA,FALSE
CLN8,inhibitor,COMPOUND 35 [PMID: 22902653],FALSE
RGS4,NULL,DISULFIRAM,TRUE
HIF1A,NULL,CHEMBL:CHEMBL458765,FALSE
BAZ2B,NULL,PYRONIN Y,FALSE
DRD3,NULL,AMISULPRIDE,TRUE
PTGS1,NULL,DICLOFENAC SODIUM,TRUE
KLK3,NULL,GENISTEIN,TRUE
MISP,NULL,PACLITAXEL,TRUE
HMAA,inhibitor,GLYCYRRHETINIC ACID,TRUE
F8,NULL,DESMOPRESSIN,TRUE
IL6,NULL,OLOKIZUMAB,FALSE
TP53AIP1,NULL,EPIRUBICIN,TRUE
UGT1A3,NULL,RITONAVIR,TRUE
HBA1,negative modulator,EFAPROXIRAL,FALSE
CD19,binder,INEBILIZUMAB-CDON,TRUE
AKT1,inhibitor,BAY-1125976,FALSE
CFTR,positive modulator,IVACAFTOR,TRUE
MAPK10,inhibitor,CC-401,FALSE
PDGFRA,NULL,AMUVATINIB,FALSE
GPC3,inhibitor,COMPOUND 60 [PMID: 26155854],FALSE
PSEN2,other/unknown,NOTCH SIGNALING PATHWAY INHIBITOR MK0752,FALSE
EML1,inhibitor,(S)-CR8,FALSE
ACTL5,agonist,CVN424,FALSE
EPHB1,inhibitor,MOMELOTINIB,TRUE
ARID1A,NULL,CPI-1205,FALSE
ITGB2,NULL,CYCLOSPORINE,TRUE
ERBB2,NULL,TBO-FILGRASTIM,TRUE
HIPK4,NULL,SP-600125,FALSE
PAEP,NULL,GENISTEIN,TRUE
VDR,NULL,CHEMBL:CHEMBL17201,FALSE
